Classificação;Nome do Filme;Nota IMDB;Quantidade de Votos
1;Um Sonho de Liberdade;9.3;2.9M
2;O Poderoso Chefão;9.2;2M
3;Batman: O Cavaleiro das Trevas;9.0;2.9M
4;O Poderoso Chefão II;9.0;1.4M
5;12 Homens e uma Sentença;9.0;864K
6;A Lista de Schindler;9.0;1.4M
7;O Senhor dos Anéis: O Retorno do Rei;9.0;2M
8;Pulp Fiction: Tempo de Violência;8.9;2.2M
9;O Senhor dos Anéis: A Sociedade do Anel;8.9;2M
10;Três Homens em Conflito;8.8;810K
11;Forrest Gump: O Contador de Histórias;8.8;2.3M
12;O Senhor dos Anéis: As Duas Torres;8.8;1.8M
13;Clube da Luta;8.8;2.3M
14;A Origem;8.8;2.5M
15;Star Wars: Episódio V - O Império Contra-Ataca;8.7;1.4M
16;Matrix;8.7;2.1M
17;Os Bons Companheiros;8.7;1.3M
18;Duna: Parte 2;8.7;347K
19;Um Estranho no Ninho;8.7;1.1M
20;Seven: Os Sete Crimes Capitais;8.6;1.8M
21;Interestelar;8.7;2.1M
22;A Felicidade Não se Compra;8.6;499K
23;Os Sete Samurais;8.6;366K
24;O Silêncio dos Inocentes;8.6;1.5M
25;O Resgate do Soldado Ryan;8.6;1.5M
26;Cidade de Deus;8.6;800K
27;A Vida é Bela;8.6;742K
28;À Espera de um Milagre;8.6;1.4M
29;O Exterminador do Futuro 2: O Julgamento Final;8.6;1.2M
30;Star Wars: Episódio IV - Uma Nova Esperança;8.6;1.4M
31;De Volta para o Futuro;8.5;1.3M
32;A Viagem de Chihiro;8.6;848K
33;O Pianista;8.5;911K
34;Parasita;8.5;957K
35;Psicose;8.5;717K
36;Homem-Aranha: Através do Aranhaverso;8.6;367K
37;Gladiador;8.5;1.6M
38;O Rei Leão;8.5;1.1M
39;O Profissional;8.5;1.2M
40;Os Infiltrados;8.5;1.4M
41;A Outra História Americana;8.5;1.2M
42;Whiplash: Em Busca da Perfeição;8.5;987K
43;O Grande Truque;8.5;1.4M
44;Túmulo dos Vagalumes;8.5;310K
45;Harakiri;8.6;68K
46;Os Suspeitos;8.5;1.1M
47;Casablanca;8.5;605K
48;Intocáveis;8.5;928K
49;Cinema Paradiso;8.5;283K
50;Tempos Modernos;8.5;259K
51;Janela Indiscreta;8.5;522K
52;Era uma Vez no Oeste;8.5;349K
